title,summary,url,publication_date,source
The Future of Post-Industrial Cities,Will second-tier cities like Pittsburgh and Baltimore emerge from the pandemic stronger and readier to face climate change?,https://spectrum.ieee.org/the-future-of-postindustrial-cities,18 MAY 2021,IEEE Automotive
"This Solid-State Lithium-Ion Battery Recharges Fast, Protects Against Fire",Its sandwiched design is great at smothering lithium dendrites that can cause batteries to catch fire,https://spectrum.ieee.org/solidstate-lithiumion-battery-recharges-fire,17 MAY 2021,IEEE Automotive
How Is This A Good Idea?: EV Battery Swapping,"Swap this technological dead-end out for better batteries, improved superchargers and more universal EV charging standards",https://spectrum.ieee.org/ev-battery-swapping-how-is-this-a-good-idea,13 MAY 2021,IEEE Automotive
"In Mahle's Contact-Free Electric Motor, Power Reaches the Rotor Wirelessly","There's no wear and tear—and no rare earths, either",https://spectrum.ieee.org/mahles-electric-motor-says-look-ma-no-contacts,12 MAY 2021,IEEE Automotive
Tula Technology Applies its Engine Smarts to EV Motors,The company that optimized cylinder-switching in GM's V-8 engines is now optimizing performance in synchronous reluctance motors,https://spectrum.ieee.org/tula-technology-applies-its-engine-smarts-to-the-electric-motors-in-evs,03 MAY 2021,IEEE Automotive
Cadillac Says No More Internal Combustion Models by 2030,The American luxury carmaker announces plans to sell only EVs by decade's end—but who's buying?,https://spectrum.ieee.org/cadillac-says-done-with-oil-by-2030,22 APR 2021,IEEE Automotive
China's Most Popular EV is No Longer a Tesla,A new EV made by General Motors and Chinese manufacturers underlines the virtues of Lilliputian size,https://spectrum.ieee.org/chinas-most-popular-ev-no-longer-a-tesla,14 APR 2021,IEEE Automotive
2021 Top 10 Tech Cars,The trend toward all-electric is accelerating,https://spectrum.ieee.org/2021-top-10-tech-cars,26 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Porsche 911 Turbo S,"Fast as lightning, stable when wet",https://spectrum.ieee.org/2021s-top-ten-tech-cars-porsche-911-turbo-s,26 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Ford Mustang Mach-E,"Lots of EV magic, for less than a Tesla",https://spectrum.ieee.org/2021s-top-ten-tech-cars-ford-mustang-mach-e,25 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Tesla Model Y,"A little smaller than the X, and a lot less pricey",https://spectrum.ieee.org/2021s-top-ten-tech-cars-tesla-model-y,25 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Land Rover Defender,It tells you when the river’s too deep to ford,https://spectrum.ieee.org/2021s-top-ten-tech-cars-land-rover-defender,24 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Ferrari SF90 Stradale,"The fastest of its breed, and batteries are included",https://spectrum.ieee.org/2021s-top-ten-tech-cars-ferrari-sf90-stradale,24 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Hyundai Elantra,How much tech can $20K buy? Plenty,https://spectrum.ieee.org/2021s-top-ten-tech-cars-hyundai-elantra,24 MAR 2021,IEEE Automotive
"From Global Giants to Feisty Startups, Electric Trucks Battle for Supremacy","Tesla's Cybertruck, the F-150 EV, the Hummer EV, and more: Handicapping the odds for waves of battery-powered pickups to come",https://spectrum.ieee.org/electric-trucks-cybertruck-hummer-f-150-rivian-who-will-be-first-to-deliver,24 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Rimac C Two,This Croatian car outruns any other EV–for €2 million,https://spectrum.ieee.org/2021s-top-ten-tech-cars-rimac-c-two,23 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Polestar 2,Volvo’s new EV brand goes full Android,https://spectrum.ieee.org/2021s-top-ten-tech-cars-polestar-2,23 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Ford F- 150,It’s a 7.2-kilowatt generator on wheels,https://spectrum.ieee.org/2021s-top-ten-tech-cars-ford-f-150,22 MAR 2021,IEEE Automotive
2021’s Top Ten Tech Cars: Lucid Air,"Go fast, go far, go green",https://spectrum.ieee.org/2021s-top-ten-tech-cars-lucid-air,22 MAR 2021,IEEE Automotive
Volkswagen Announces EV Battery Push,The German automaker unveiled a new battery and charging strategy at its virtual Power Day event,https://spectrum.ieee.org/volkswagen-announces-ev-battery-push,16 MAR 2021,IEEE Automotive
How Is This a Good Idea: Car Dashboard Video Games,Vehicles are not toys; keep games were they belong,https://spectrum.ieee.org/hitagi-car-dashboard-videogames,22 JAN 2021,IEEE Automotive
Uber Sells Its Robocar Unit,"It says it's just joining forces with the buyer, Aurora, but that still leaves one less player in the game",https://spectrum.ieee.org/uber-sells-its-robocar-unit,09 DEC 2020,IEEE Automotive
A Russian warlord said he’ll take Cybertrucks into Ukraine; some experts think that’s unwise,"In August, a Russian warlord posted a video on Telegram, showing a pair of Cybertrucks patrolling a road in Chechnya, armed seemingly with heavy machine guns. Leaving aside unanswerable (for…",https://techcrunch.com/2024/09/27/a-russian-warlord-said-hes-taking-cybertrucks-into-ukraine-some-experts-think-thats-unwise/,2024-09-27T22:30:12-07:00,TechCrunch Transportation
Canoo hit with two supplier lawsuits as last remaining co-founder leaves,"EV startup Canoo has been hit with two new lawsuits from suppliers linked to the drivetrains that power its electric vehicles, just weeks after the company kicked off a major…",https://techcrunch.com/2024/09/27/canoo-hit-with-two-supplier-lawsuits-as-last-remaining-co-founder-leaves/,2024-09-27T12:57:53-07:00,TechCrunch Transportation
"Uber snags another robotaxi deal, aviation startups land VC bucks, and where Rivian Foundation money is going",Welcome back to TechCrunch Mobility — your central hub for news and insights on the future of transportation. Sign up here for free — just click TechCrunch Mobility! I’ve been…,https://techcrunch.com/2024/09/26/uber-snags-another-robotaxi-deal-aviation-startups-land-vc-bucks-and-where-rivian-foundation-money-is-going/,2024-09-26T11:05:00-07:00,TechCrunch Transportation
"Tesla Superchargers: GM, Ford, Rivian, and other EV brands with access",EV owners of GM vehicles like the Chevrolet Silverado EV and Cadillac Lyriq will now officially have access to Tesla’s Superchargers.,https://techcrunch.com/2024/09/26/tesla-superchargers-gm-ford-rivian-and-other-ev-brands-with-access/,2024-09-26T09:13:00-07:00,TechCrunch Transportation
BMW says we need both battery and hydrogen EVs for a zero-emissions future,"Despite hydrogen’s challenges, BMW thinks the only way to actually achieve a shift to zero-emissions transportation is through a mix of BEVs and hydrogen vehicles.",https://techcrunch.com/2024/09/26/bmw-says-we-need-both-battery-and-hydrogen-evs-for-a-zero-emissions-future/,2024-09-26T09:02:09-07:00,TechCrunch Transportation
Ayrton Energy mimics margarine to store hydrogen safely,"As the universe’s lightest gas, hydrogen is tricky to contain. But there’s an alternative: attaching hydrogen atoms to a carrier molecule that’s easier to move.",https://techcrunch.com/2024/09/25/ayrton-energy-mimics-margarine-to-store-hydrogen-safely/,2024-09-25T08:54:22-07:00,TechCrunch Transportation
Uber will soon offer WeRide robotaxis in Abu Dhabi,The ride-hail and delivery giant announced a new deal to bring WeRide’s robotaxis to the Uber platform starting in Abu Dhabi.,https://techcrunch.com/2024/09/25/uber-will-soon-offer-weride-robotaxis-in-abu-dhabi/,2024-09-25T05:52:55-07:00,TechCrunch Transportation
"Northvolt lays off 1,600 workers, but it’s not the end for Europe’s battery champion",Europe’s attempt at building a battery manufacturing powerhouse announced that it had halted work on a factory expansion and laid off about 20% of its employees.,https://techcrunch.com/2024/09/24/northvolt-lays-off-1600-workers-but-its-not-the-end-for-europes-battery-champion/,2024-09-24T11:17:54-07:00,TechCrunch Transportation
Rivian reveals first $10M in grants for long-promised Rivian Foundation,"Rivian has revealed the first $10 million worth of grants from the Rivian Foundation, three years after the EV maker vowed the philanthropy would receive 1% of its equity to…",https://techcrunch.com/2024/09/24/rivian-foundation-reveals-first-10-million-grantees/,2024-09-24T10:16:00-07:00,TechCrunch Transportation
"First TikTok, now smart cars: How Biden’s new proposed ban will affect US automakers","The White House issued a long-anticipated proposal Monday that would ban Chinese smart cars because internet-connected vehicles pose a national security risk. The proposal, made amid an escalating trade war,…",https://techcrunch.com/2024/09/23/first-tiktok-now-smart-cars-how-bidens-new-proposed-ban-will-affect-u-s-automakers/,2024-09-23T08:58:43-07:00,TechCrunch Transportation
"Zin Boats’ bigger, faster electric leisure craft is built from the hull up with PNW pride","After taking on water during the pandemic, Zin Boats is back with a bigger, better electric watercraft that it has built from the hull up — again.",https://techcrunch.com/2024/09/23/zin-boats-bigger-faster-electric-leisure-craft-is-built-from-the-hull-up-with-pnw-pride/,2024-09-23T08:01:00-07:00,TechCrunch Transportation
Pyka fields interest from defense as $40M round goes to scaling up its electric autonomous planes,"Though it briefly worked on a passenger plane, the company decided after raising some money in 2022 that a cargo variant of the Pelican was more practical in the short…",https://techcrunch.com/2024/09/23/pyka-fields-interest-from-defense-as-40m-round-goes-to-scaling-up-its-electric-autonomous-planes/,2024-09-23T07:01:00-07:00,TechCrunch Transportation
Thor and Harbinger’s new hybrid RV will let you spend more time at the campsite,Legacy automakers are experiencing a sort of existential crisis as they grapple with whether to stick to plans to go all-electric or hedge with hybrids. This sudden appetite for options…,https://techcrunch.com/2024/09/23/thor-industries-harbinger-motors-hybrid-rv-range-extender/,2024-09-23T05:30:00-07:00,TechCrunch Transportation
"Pedego’s Cargo e-bike: Sporty, stylish, and powerful for $4,000",The Pedego’s Cargo e-bike is marketed as a powerful and sporty ride that’s geared toward parents toting kids around town and anyone who needs to schlep heavy gear.  I spent…,https://techcrunch.com/2024/09/22/pedegos-cargo-e-bike-sporty-stylish-and-powerful-for-4000/,2024-09-22T09:00:00-07:00,TechCrunch Transportation
Electric outboard startup Pure Watercraft is selling itself for parts,A tough market seems to have put an end to Pure’s ambitions.,https://techcrunch.com/2024/09/21/electric-outboard-startup-pure-watercraft-is-selling-itself-for-parts/,2024-09-21T08:47:00-07:00,TechCrunch Transportation
Gaming Lyft’s Citi Bike algos was a lucrative side hustle for a while,"A New York Times article Thursday highlighted a lucrative side hustle that is emblematic of the times we live in: gaming algorithms to earn money. In this case, folks figured…",https://techcrunch.com/2024/09/19/gaming-lyfts-citi-bike-algos-was-a-lucrative-side-hustle-for-a-while/,2024-09-19T15:29:54-07:00,TechCrunch Transportation
"No, the FAA isn’t fining SpaceX because of Elon Musk’s politics, former FAA head says",Elon Musk is suing the FAA over fines he claims are “politically-motivated.” The former head of the FAA disagrees.,https://techcrunch.com/2024/09/19/no-the-faa-isnt-fining-spacex-because-of-elon-musks-politics-former-faa-head-says/,2024-09-19T11:03:26-07:00,TechCrunch Transportation
"A leadership shake-up at Motional, inside the fight over TuSimple’s cash, and Fisker waffles on recall repairs","This week’s Mobility newsletter looks at a leadership shakeup at Motional, and we go inside the fight over TuSimple’s cash and much more.",https://techcrunch.com/2024/09/19/a-leadership-shakeup-at-motional-inside-the-fight-over-tusimples-cash-and-fisker-waffles-on-recall-repairs/,2024-09-19T10:30:00-07:00,TechCrunch Transportation
Cruise robotaxis return to the Bay Area nearly one year after pedestrian crash,The company said Thursday that it will put “several” vehicles driven by humans in the two cities that will initially perform mapping.,https://techcrunch.com/2024/09/19/cruise-avs-return-to-bay-area-year-after-pedestrian-crash/,2024-09-19T10:24:10-07:00,TechCrunch Transportation
TechCrunch Minute: United will use SpaceX’s Starlink to bring free Wi-Fi to flights,United Airlines announced last week that it came to an agreement with Elon Musk’s SpaceX to bring the Starlink internet service to its entire fleet.…,https://techcrunch.com/video/techcrunch-minute-united-will-use-spacexs-starlink-to-bring-free-wi-fi-to-flights/,2024-09-19T09:00:00-07:00,TechCrunch Transportation
Zeno emerges from stealth to crib Tesla’s master plan for Africa and beyond,The startup has been methodically exploring how batteries might transform life in emerging markets.,https://techcrunch.com/2024/09/19/zeno-emerges-from-stealth-to-crib-teslas-master-plan-for-africa-and-beyond/,2024-09-19T06:30:00-07:00,TechCrunch Transportation
Kiwibot acquires an ad startup to turn its delivery robots into mobile billboards,There’s ample opportunity in the form of a mobile billboard. Kiwibot is so convinced of this fact that it plunked down $25 million to purchase Nickelytics.,https://techcrunch.com/2024/09/19/kiwibot-acquires-ad-startup-to-turn-its-delivery-robots-into-mobile-billboards/,2024-09-19T06:00:00-07:00,TechCrunch Transportation
CEO of self-driving startup Motional is stepping down,"Motional, the autonomous vehicle startup backed by Hyundai, is shaking up its leadership ranks. Karl Iagnemma, an early pioneer in the autonomous vehicle industry whose startup Nutonomy lies at the…",https://techcrunch.com/2024/09/18/ceo-of-self-driving-startup-motional-is-stepping-down/,2024-09-18T19:28:21-07:00,TechCrunch Transportation
Bill requiring AM radio in new cars gets closer to law,A House committee overwhelmingly voted to approve a bill that would require new cars to be built with AM radio at no additional cost to the owner. The AM for…,https://techcrunch.com/2024/09/18/bill-requiring-am-radio-in-new-cars-gets-closer-to-law/,2024-09-18T13:00:57-07:00,TechCrunch Transportation
Fisker reverses course on making Ocean owners pay for recall repairs,The reversal comes as EV startup Fisker prepares to enter the fourth month of its Chapter 11 bankruptcy process.,https://techcrunch.com/2024/09/18/fisker-reverses-course-on-making-ocean-owners-pay-for-recall-repairs/,2024-09-18T11:27:00-07:00,TechCrunch Transportation
Why United chose SpaceX’s Starlink to power its free Wi-Fi,"Late last week, United Airlines announced that it signed an agreement with Elon Musk’s SpaceX to bring its Starlink internet service to its entire fleet and — for the first time — offer free Wi-Fi to all passengers. To dig a bit deeper into why United went with Starlink, what…",https://techcrunch.com/2024/09/17/why-united-chose-spacexs-starlink-to-power-its-free-wifi/,2024-09-17T15:23:00-07:00,TechCrunch Transportation
Londoners will soon see drones ferrying blood between hospitals,"A joint pilot by Apian, Alphabet’s drone company Wing, and the U.K.’s NHS will see drones used to fly urgent blood samples between two hospitals in London.",https://techcrunch.com/2024/09/17/londoners-will-soon-see-drones-ferrying-blood-between-hospitals/,2024-09-17T08:04:18-07:00,TechCrunch Transportation
Gogoro CEO resigns as subsidy fraud investigation continues,"Gogoro, the Taiwanese electric scooter manufacturer and battery-swapping giant, said its CEO and chairman Horace Luke has stepped down amid subsidy fraud allegations, according to a regulatory filing. Gogoro allegedly…",https://techcrunch.com/2024/09/16/gogoro-ceo-resigns-as-subsidy-fraud-investigation-continues/,2024-09-16T10:22:46-07:00,TechCrunch Transportation
Port of Seattle shares ransomware attack details,"The Port of Seattle released a statement Friday confirming that it was targeted by a ransomware attack. The attack occurred on August 24, with the Port (which also operates the…",https://techcrunch.com/2024/09/15/port-of-seattle-shares-ransomware-attack-details/,2024-09-15T11:24:16-07:00,TechCrunch Transportation
Investors rebel as TuSimple pivots from self-driving trucks to AI gaming,"TuSimple, once a buzzy startup considered a leader in self-driving trucks, is trying to move its assets to China to fund a new AI-generated animation and video game business. The pivot has not only puzzled and enraged several shareholders, but also threatens to pull the company back into a legal…",https://techcrunch.com/2024/09/13/a-fight-is-brewing-as-tusimple-tries-to-move-450m-to-china-and-pivot-from-self-driving-trucks-to-ai-animation/,2024-09-13T11:18:05-07:00,TechCrunch Transportation
Beta Technologies unveils first passenger carrying electric aircraft,Beta Technologies unveiled Monday the next electric aircraft in its lineup — a passenger-carrying version of its ALIA vertical takeoff and landing and fixed-wing vehicles. Electric vertical takeoff and landing…,https://techcrunch.com/2024/09/30/beta-technologies-unveils-first-passenger-carrying-electric-aircraft/,2024-09-30T07:00:00-07:00,TechCrunch Transportation
Valeo moves to support the progression to electrified vehicles,"Sep 27, 2024 - New hardware and software code prepped for inside-out vehicle makeovers.",https://www.sae.org/news/2024/09/valeo-tech-day-2024,"Sep 27, 2024"
Making machines software-defined no simple task,"Sep 26, 2024 - Experts at SAE COMVEC 2024 were mostly optimistic about software’s promise in commercial vehicles, but some serious challenges must be overcome first.",https://www.sae.org/news/2024/09/sae-comvec-2024-software-defined-machines,"Sep 26, 2024"
Ford Engineering Lab turns 100,"Sep 25, 2024 - The building that started Ford Motor Company’s innovation journey now houses an electrified engineering team.",https://www.sae.org/news/2024/09/ford-engineering-lab,"Sep 25, 2024"
Case launches ‘industry first’ electric backhoe loader,"Sep 23, 2024 - The 580EV backhoe loader and two other coming-soon EV machines bring Case’s electric lineup to five models.",https://www.sae.org/news/2024/09/case-580ev-electric-backhoe-loader,"Sep 23, 2024"
Navigating the future of AI,"Sep 20, 2024 - Industry execs tackled the topic of AI integration in the commercial-vehicle industry at SAE COMVEC 2024.",https://www.sae.org/news/2024/09/sae-comvec-2024-artificial-intelligence,"Sep 20, 2024"
"BMW, Classiq find better architectures through quantum computing","Sep 19, 2024 - Everything from electric motors to robot arms can be looked at through the lens of a powerful algorithm.",https://www.sae.org/news/2024/09/bmw-classiq-computing,"Sep 19, 2024"
Reducing the Weight of EV Batteries with Specialty Thermoplastics,"Sep 18, 2024 - Eight arguments for these resins, compounds and composites.",https://www.sae.org/news/2024/09/thermoplastic-weight-reduction,"Sep 18, 2024"
Cummins new X15 engine meets upcoming regs while boosting efficiency,"Sep 16, 2024 - Cummins says heavy-duty customers can have their cake and eat it too thanks to the latest updates to its 15-liter offering.",https://www.sae.org/news/2024/09/cummins-x15-engine,"Sep 16, 2024"
2025 Volvo EX90 review: Update required,"Sep 13, 2024 - Volvo is on to something with this three-row electric SUV, but it’s not quite ready yet.",https://www.sae.org/news/2024/09/2025-volvo-ex90-review-update-required,"Sep 13, 2024"
Q&A: What it takes to add an e-axle,"Sep 12, 2024 - Linamar, Bosch show off new e-axle tech for larger trucks.",https://www.sae.org/news/2024/09/qa-what-it-takes-to-add-an-e-axle,"Sep 12, 2024"
"Bemis, BASF develop lightweight hydraulic tank for compact excavators","Sep 11, 2024 - The injection-molded and vibration-welded tank is 5% lighter and costs about 20% less than the previous version.",https://www.sae.org/news/2024/09/bemis-basf-lightweight-hydraulic-tank,"Sep 11, 2024"
Coherix’s laser-based computer-vision improves electronics manufacturing,"Sep 09, 2024 - New tech confirms the proper application of sealant and adhesives.",https://www.sae.org/news/2024/09/coherix-3d-mini-system,"Sep 09, 2024"
A Waymo robotaxi stalled in front of VP Harris’ motorcade,A Waymo robotaxi got stuck making a U-turn in front of Vice President Kamala Harris’ motorcade Friday evening in San Francisco.  ABC 7 reported that a San Francisco police officer…,https://techcrunch.com/2024/09/30/a-waymo-robotaxi-stalled-in-front-of-vp-harris-motorcade/,2024-09-30T09:38:19-07:00,TechCrunch Transportation
Tesla’s Cybertruck gets Supervised Full Self-Driving,"Tesla’s end-of-September deadline for bringing Supervised Full Self-Driving (FSD) to Cybertruck owners has arrived. In typical Tesla fashion, the superfans are getting first access. Members of the Cybertruck Owners Club…",https://techcrunch.com/2024/09/30/teslas-cybertruck-gets-supervised-full-self-driving/,2024-09-30T08:41:02-07:00,TechCrunch Transportation
The complete agenda for the Disrupt Stage at TechCrunch Disrupt 2024,"Get ready for TechCrunch Disrupt 2024, our signature event for startups of all stages, taking place at Moscone West in San Francisco from October 28-30. This year, we’re expecting a…",https://techcrunch.com/2024/10/01/announcing-the-agenda-for-the-disrupt-stage-at-techcrunch-disrupt-2024/,2024-10-01T08:30:00-07:00,TechCrunch Transportation
Ford cuts price of BlueCruise hands-free driving feature,"Ford is slashing both the monthly and annual cost of its hands-free driver-assistance feature, BlueCruise, for new and existing owners in response to “customer and dealer” feedback, the company tells…",https://techcrunch.com/2024/10/01/ford-cuts-price-bluecruise-hands-free-driving/,2024-10-01T07:23:15-07:00,TechCrunch Transportation
Serve Robotics and Wing to trial robot-to-drone delivery in Dallas,"Drones and sidewalk delivery robots promise to make last-mile delivery cheaper and more efficient, but they both have their limitations. Drones have trouble touching down in dense urban areas, and…",https://techcrunch.com/2024/10/01/serve-robotics-and-wing-to-trial-robot-to-drone-delivery-in-dallas/,2024-10-01T07:11:52-07:00,TechCrunch Transportation
Tier becomes Dott following the merger of the two micromobility companies,"With this merger, Dott and Tier didn’t want to build a conglomerate of micromobility services; the operation was all about scale.",https://techcrunch.com/2024/09/30/tier-becomes-dott-following-the-merger-of-the-two-micromobility-companies/,2024-09-30T21:00:00-07:00,TechCrunch Transportation
Cruise gets $1.5 million penalty for keeping pedestrian crash details from safety regulator,"General Motors’ self-driving subsidiary Cruise must pay a $1.5 million penalty to the National Highway Traffic Safety Administration, after its initial reports to the safety regulator about last year’s pedestrian…",https://techcrunch.com/2024/09/30/cruise-1-5-million-penalty-omitting-pedestrian-crash-details-regulator/,2024-09-30T10:49:56-07:00,TechCrunch Transportation
